query,positive
Можно ли выбирать факультативные курсы из предложенных институтом?,"Обучающиеся имеют право:

- · Получать образование в соответствии с федеральным государственным образовательным стандартом (ФГОС) и требованиями, самостоятельно устанавливаемыми университетом, обучаться в пределах этих стандартов по индивидуальным учебным планам, ускоренным курсам обучения
- · Бесплатно пользоваться библиотечно-информационными ресурсами, получать дополнительные (в том числе платные) образовательные услуги
- • Свободно выражать собственные мнения и убеждения. - · Выбирать факультативные (необязательные для данного направления подготовки) и элективные (избираемые в обязательном порядке) курсы, предлагаемые институтом и кафедрой."
Какой процент промышленных предприятий и научных институтов региона возглавляют выпускники НГТУ?,"В настоящее время более 80 % промышленных предприятий и научных институтов региона возглавляют

выпускники НГТУ. Немало наших выпускников и среди ректоров вузов, крупных государственных и общественных деятелей, конструкторов и изобретателей с мировыми именами."
Почему важно не отступать от университетских традиций?,"Статья 4. Полезные советы

- • Не отступай от университетских традиций и всегда помни: «Политех - лучше всех!»."
Какой номер телефона у председателя Студенческого совета НГТУ?,"Должность: Председатель (ауд. 1336), Студенческий совет НГТУ:, ФИО: Болдырева Мария , Номер телефона: 8 (953) 566-25-56"
Какой номер телефона у Кулагина Александра Леонидовича?,"Должность: Зам. директора по проектной деятельности (ауд. 1358), Образовательно-научный институт транспортных систем (ИТС), ФИО: Кулагин Александр Леонидович , Номер телефона: 436-63-64"
Какова продолжительность весенней сессии?,"Между семестрами существуют каникулы. | Семестр   | Семестр                 | Сессия               | Каникулы                                    |
|-----------|-------------------------|----------------------|---------------------------------------------|
| Осенний   | 1 сентября -31 декабря | 9 января - 30 января | 30 декабря - 8 января 1 февраля - 8 февраля |
| Весенний  | 9 февраля - 12 июня     | 13 июня - 30 июня    | 27 июля - 31 августа                        |"
Какова должность Ксении Колено?,"Должность: Председатель (ауд. 1336), Студенческие отряды НГТУ:, ФИО: Колено Ксения , Номер телефона: 8 (908) 238-32-40"
Какие строительные отряды входят в состав НГТУ?,"Студенческие отряды НГТУ: Строительные отряды:

- • ССО «Сила тока»;
- • ССО «Квант»;
- • ССО «Эталон»;"
Что студенты НГТУ дают на Дне первокурсника?," - · Помни и чти клятву студента-политехника, которую ты дал на Дне первокурсника. Студент НГТУ - звучит гордо!"
Какие названия имеют строительные отряды НГТУ?,"Студенческие отряды НГТУ: Строительные отряды:

- • ССО «Сила тока»;
- • ССО «Квант»;
- • ССО «Эталон»;"
Когда студенты заполняют заявки на приобретение путевок в «Ждановец»?,"Спортивно-оздоровительный лагерь «Ждановец»

Наряду со всем этим у «Ждановца» есть свои традиции и мероприятия как спортивные, так и культурные: «Ждановидение», «День бегуна», «Арбат», «Ты да Я», «Мисс Побережье», дни дружбы и многие другие. Для приобретения путевок в СОЛ «Ждановец» в мае - июне каждого года студенты заполняют заявку в электронном виде!"
Какие качества важны для успешного обучения в НГТУ?,"- • Каждый политехник должен знать гимн НГТУ. - • Чтобы совершать меньше ошибок, умей слушать и терпеть."
"Кто проводит обучение для студентов, желающих стать координаторами?","Как стать координатором:

Студент, желающий стать координатором, должен пройти обучение в Школе координаторов, проводимой Студенческим советом НГТУ им. Р.Е. Алексеева. Школа координаторов - это ежегодное обучение студентов, желающих стать координаторами."
Кто является проректором по управлению имущественным комплексом?,"Должность: Проректор по управлению имущественным комплексом,  ФИО: Солдаткин Олег Борисович , Номер телефона: 436-93-23 436-18-70"
Что дает вокальная студия университета для начинающих?,"Вокальная студия

В вокальной студии университета нет скучных уроков сольфеджио и пыльных учебников. Мы даём базовые упражнения на дыхание и вокал для профи и начинающих."
Какой номер телефона у Ершовой Евгении Анатольевны?,"Должность: Зам. директора по внеучебной работе (ауд. 1256), Институт электрознергетики (ИНЭЛ), ФИО: Ершова Евгения Анатольевна , Номер телефона: 436-93-79"
Чему научат в ШГТ НГТУ?,"Записывайся в ШГТ НГТУ! Мы расскажем с чего начинать и на что обратить внимание, с удовольствием поделимся опытом и знаниями по организации походов, технике пешего и горного туризма."
Когда начинается работа координаторов?,Чем занимаются координаторы? Работа координаторов начинается уже в августе.
Какой номер телефона у Ходыкиной Инны Вячеславовны?,"Должность: Зам. директора по учебной работе (ауд. 1256), Институт электрознергетики (ИНЭЛ), ФИО: Ходыкина Инна Вячеславовна , Номер телефона: 436-93-79"
Какой адрес у научно-технической библиотеки НГТУ?,"Всю необходимую информацию можно получить по адресу: ул. Минина, 28 (436-17-06), в разделе на сайте НГТУ: nntu.ru/structure/view/podrazdeleniya/

nauchno-tehnicheskayabiblioteka и в группе ВКонтакте: vk.com/ntbngtu

Режим работы библиотеки (2 корпус, 6 корпус): Понедельник - четверг: 8:30 - 17:00 , по пятницам с 8:30 - 16:00 , суббота и воскресенье - выходной; последняя пятница месяца - санитарный день. Тел. 8 (831) 257-86-54"
Что является важным для функционирования студенческой группы?,"Особенности группы, сама студенческая среда оказывают мощное социализирующее и воспитательное воздействие на личность студента. Важным условием функционирования студенческой группы является наличие в группе работоспособного и деятельного актива."
Как можно проверить успеваемость в НГТУ?,"Все сервисы для студентов, в том числе возможность проверить успеваемость, находятся во вкладке «СТУДЕНТАМ» на главной странице сайта НГТУ nntu.ru. Этот QR-код приведет тебя сразу на нужную страницу"
На какой период времени назначаются стипендии?,Стипендии назначаются приказом ректора на один семестр по результатам предыдущей экзаменационной сессии. Социальная стипендия выплачивается социально незащищенным категориям студентов независимо от их оценок (по представлению в дирекцию справки из органов социального обеспечения по месту постоянного проживания в начале семестра).
Как называется должность Ходыкиной Инны Вячеславовны?,"Должность: Зам. директора по учебной работе (ауд. 1256), Институт электрознергетики (ИНЭЛ), ФИО: Ходыкина Инна Вячеславовна , Номер телефона: 436-93-79"
"Где находится спортивно-оздоровительный лагерь ""Ждановец""?","Спортивно-оздоровительный лагерь «Ждановец»

«Зачем нам Геленджик или Мацеста? Ну, разве их со «Ждановцем» сравнить?»"
"Каков уровень подготовки, достигаемый благодаря участию в Студенческом Совете?","- В Студенческом Совете ты сможешь развить все необходимые качества и компетенции, чтобы достичь требуемого уровня подготовки! У нас каждый может найти себе полезное и интересное дело!"
Какой телефон указан для справок по воинскому учёту?,"По вопросам воинского учёта обращаться по адресу: Казанское шоссе, 12, корпус № 6 НГТУ, ауд. №6204,6233, тел. 257-86-68, 257-86-69. Примечание: всем девушкам-первокурсникам, поступившим в институт радиоэлектроники и информационных технологий (ИРИТ) на военно-учётную специальность информатика и вычислительная техника, необходимо прибыть во второй отдел (ауд. 6233) для разъяснения порядка и правил постановки на воинский учёт и получения военного билета в военном комиссариате Советского и Нижегородского районов г. Нижнего Новгорода."
Какие конкретные мероприятия упоминаются как проводимые в институтах?,"Наши мероприятия в институтах:

Верёвочные курсы; Дни институтов; «Мистер и Мисс ИТС», «Мисс ИРИТ», Конкурс пар ИНЭЛ «23+8»; «Лучшая группа института»; Квест «История одного карнавала», интеллектуальная игра «Интеллектуальный хоккей» и другие."
Какие направления деятельности доступны для участия в студгородке НГТУ?,"Если твоя фишка журналистика, фотография или дизайн, то тебе точно к нам! Чтобы принять участие в жизни студгородка, ты можешь обратиться в администрацию группы «ВКонтакте»: ВК: vk.com/studgorodok\_ngtu"
Какой номер телефона у Бородиной Нины Викторовны?,"Должность: Инженер 2 категории (секретарь) (ауд. 5206), Институт ядерной энергетики и технической физики им. академика Ф.М. Митенкова (ИЯЭиТФ), ФИО: Бородина Нина Викторовна , Номер телефона: 436-63-53"
